,title,author,dept,year,advisor,abstract
0,Unilateral Friendship Outcomes and Preschool Friendship Formation,"Wong, Maile",Psychology,2015,,
1,Beyond Prosthetics: the First Steps Towards Identifying Key Regulators of Limb Regeneration,"Chou, Jacquelyn",Biological Sciences,2015,"Suzuki, Yuichiro",
2,"Filling Political Spaces: Iraqi, Humanitarian-Oriented NGOs in the Context of American Military Occupation","Seymour, Jillian",Political Science,2015,,
3,True Fiction: Three Writers' Approaches to Fact and/or Fiction,"Krauthamer, Anna",English,2015,"Chiasson, Dan",This thesis examines how three writers challenge our understandings of the fiction and non-fiction genres.
4,"The Making of a Mountain: Mount Fuji, Miniature Fujis and the Cultural Narrative of Edo","Scoble, Emily",East Asian Languages and Literatures,2015,"Goree, Robert",
5,Spoiler' Violence and Other Myths: A Mixed Methods Study of Paramilitaries' Use of Force in Northern Ireland,"Tam, Claire",Political Science,2015,,"While many scholars have written about 'spoilers,' actors committed to the use of violence in an effort to undermine political negotiations, there have been few attempts to systematically test whether theories of spoiling behavior truly effectively explain armed nonstate actors' use of force. Using a combination of GIS mapping, statistical analysis, and qualitative data gathered from interviews in Belfast, Northern Ireland, I examine the lines of division that formed within Northern Irish paramilitaries during the peace process of the 1990s. By focusing in particular on what I define as intra-movement violence, I examine the way divisions formed and test whether these fissures reflect a moderate-militant divide over peace negotiations. Ultimately, I find that evidence from Northern Ireland is more consistent with an explanation that identifies lines of division relating to intra-movement factors such as local competition or involvement with crime."
6,On the Brink of Collapse,"Harlow, Catherine",Art,2015,"Rivera, Daniela",
7,"The Bicyclist and Other Stories: Combining Images, Text and Code to Create Visual, Interactive and Immersive Narratives","Makivic, Julia",Media Arts and Sciences,2015,"Olsen, David","This thesis examines how combining images, text and programming can create a variety of immersive and interactive narratives. I discuss three of my pieces, ""26"", ""The Bicyclist"" and ""The World Consciousness Database"" and how the elements of images, text and code affect the narrative experience of each piece. Throughout the course of making these stories, I realize that the underlying code is just as important to the visual presentation and narrative experience of each piece as the surface text and images."
8,"Looking Through Death's Veil: Keats, Mortality, and Medicine","Garvey, Sarah Lauren",English,2015,"Tyler, Luther Terrell","John Keats prophesied that, ""I think I shall be among the English poets after my death,"" and strove throughout his short life to produce poetry that would elevate him to the same level as Shakespeare and Milton before him. While he received mostly antagonistic literary reviews during his lifetime, Keats has since become one of the most beloved of the Romantic poets. His poetry, strongly influenced by his youthful passion and the urgency of his quickly deteriorating health, blossomed between the years of 1818-1820, right before his death from tuberculosis at the age of 25. By utilizing primary source documents, I analyze his poems within the context of letters he wrote to his close friends and family, which paint a near complete portrait of the inner workings of the poet's mind. My thesis focuses on how his physician's training influenced his poetry, as well as how the circumstances surrounding his life shaped his writing, his views on life, and his own apparent mortality."
9,Thin Films of Gold Nanoparticles: Temporal Stability and Mechanisms of Degradation,"Xu, Jeanne",Chemistry,2015,"Flynn, Nolan T.",
10,Discourses of Exemplarity in Propertius IV,"Thayer, Madeline",Classical Studies,2015,"Young, Liz
Starr, Raymond","Exemplarity is a commonly observed feature of the Roman cultural landscape, be it in respect to literature, monuments, or portraiture. Particularly in Augustan Rome, exemplary figures were utilized to express common cultural values intended to serve as a guide to moral conduct, and were intended to draw from the past in an attempt to unify and render cohesive a state that had suffered many years of civil war. Exemplary figures also served to ground Augustus's rule in the past. This thesis looks at exemplarity in Book IV of Propertius's Elegies, specifically regarding two characters, Cornelia and Tarpeia. Rather than expressing a single, easily understood value and thus serving a function as a template of behavior, Propertius, within the text, instead destabilizes the ideas that these characters supposedly represent, and thus complicates essential pillars of Roman identity."
11,Private Military Contractors as a Risk-Transfer Mechanism: The Case of Plan Colombia,"Bianchi, Kendall",Political Science,2015,"Goddard, Stacie
MacDonald, Paul","This thesis examines the use of private military contractors (PMCs) in small-scale military missions, using the case study of American counternarcotics and counterinsurgency aid for Plan Colombia as an example. During the early 2000s and beyond, the United States relied heavily on private companies to support its assistance package to the Colombian government. Political limits on U.S. involvement in the country led U.S. officials to attempt to preserve operational flexibility in part by transferring casualty risks away from the military and toward employees of private companies. This use of contractors as a risk-transfer mechanism, however, increased the overall risk the United States faced in Colombia in three ways. First, it introduced moral hazard on the part of the government agencies involved. Second, it transferred control over risk from a highly risk-averse entity (the government) to a relatively non-risk averse entity (PMCs). And third, it placed profit incentives near the tip of the so-called U.S. spear in Colombia, undermining safety precautions and resulting in extra and unnecessary casualty risks for personnel involved. Unlike other analyses of the risks produced by contractors in war, my approach focuses on how the operational concept behind privatization of certain tasks generates risk. While many scholars have studied the risks inherent in using private companies on the battlefield, my research analyzes the way in which government decisions about when, where, and how to use contractors create additional casualty risks."
12,How Wales Was Made So Happy: Exploring Nation and Nonsense in Shakespeare's Treatment of the Welsh,"Moore, Morgan",Medieval and Renaissance Studies,2015,"Wall-Randell, Sarah","With famous lines like ""On, on, you noblest English!,"" and ""This blessed plot, this earth, this realm, this England,"" Shakespeare's plays-especially the histories- are famous for their role in creating and glorifying English national identity. But equally important to an understanding of Shakespeare's canon are minority British identities, and of these the most prevalent and most overlooked are the Welsh. This thesis focuses on Shakespeare's Welsh characters, their roles and presentations, and chooses to examine the often paradoxical portrayals of such Welsh characters. In focusing on Sir Hugh Evans from The Merry Wives of Windsor, Fluellen from Henry V, Owen Glendower and Lady Mortimer from Henry IV Part One, and the landscape of Wales depicted in Cymbeline, I argue that there is a powerful duality of the foreign and familiar, absurdity and respectability, embedded in Shakespeare's Welshmen which is in keeping with the theory of beneficial and productive ""nonsense"" put forward by Stephen Booth- and which becomes apparent, and deeply significant, in performance."
13,Compact Quiescent Galaxies in the DEEP2 Redshift Survey,"Blancato, Kirsten N.",Astrophysics,2015,"McLeod, Kim
Chilingarian, Igor",
14,The Effect of Social Security on Elderly Migration and Location Choice,"Tang, Elaine",Economics,2015,"Fetter, Daniel
Coile, Courtney
McKnight, Robin","Increasing taxation, reducing benefits, and raising the retirement age are popular topics of debate surrounding the Social Security program. Past research has shown that lower benefits decrease independent living and homeownership, and increases poverty amongst the elderly. However, the ability to live in desirable locations also impacts welfare. How do Social Security benefits reductions impact elderly migration and location choice? Higher local wages generally compensate higher local housing costs. However, unlike their children, Social Security recipients have mostly retired. With soaring metropolitan real estate prices and rent hikes, are those relying on Social Security benefits forced to move from high-cost to low-cost locations? What are the impacts on welfare if the elderly must live in lower-cost areas or potentially live farther from their children? I shed light on these questions by exploiting the Social Security notch to examine the effects of an exogenous decrease in Social Security benefits on where the elderly have chosen to live."
15,Kino: CAMS Production Honors Thesis,"Tyson, Lilly Starr",Cinema and Media Studies,2015,"Wood, Winifred","Kino is a CAMS production honors thesis focusing on exploring the filmmaking techniques and overall cinematic style of Director Alfred Hitchcock. In this document there is background on every aspect of the making of this film project, from writing the original screenplay, to color correcting in post-production. In the back of the document there is a digital copy of the final cut of the film as of April 23, 2015."
16,Finding Their Sphere: Feminist Communication in the Internet Era,"Diamond, Anna",American Studies,2015,,
17,China's Soft Power in the Arab World through Higher Educational Exchange,"Gao, Siqi","International Relations
Political Science",2015,"Goddard, Stacie
Joseph, William","As the world marveled at China's rapid growth of economic and military power in the past few decades, China's soft power expansion has received relatively little attention. My research looks at Chinese university programs that have attracted an increasing number of Arab students in recent years, which coincides with China's larger scheme of soft power projection in the MENA region. Through quantitative analysis of an original survey and interviews with Arab students in China, I attempt to examine whether Chinese university programs can effectively enhance China's soft power in the Arab World. My research finds that studying in China can lead to more favorable feelings toward China among Arab students as a result of increased familiarity and understanding of Chinese language, culture, society, and people. However, this positive change of impression has little to do with the length of time students spend studying in China. Their academic experience in Chinese universities does not seem to contribute significantly to this change either."
18,Privacy Implications of New York City's Stop-and-Frisk Data,"Manfredi, Veronica",Computer Science,2015,"Mir, Darakhshan","A wider release of police datasets could enable social scientists, community activists, and civil libertarians to more effectively challenge discriminatory policing practices. However, the privacy implications of such sharing must be carefully considered. It is known that ""de-identifying"" data is not sufficient to protect the privacy of individuals. New York City's stop-and-frisk data is an example of one such police dataset. The stop-and-frisk data contains information (including demographic information) about all people stopped by the program from 2003 to 2012. This paper examines the identifiability of this data. It examines the uniqueness of the data to investigate the privacy implications of its release for the individuals targeted by stop-and-frisk. It also suggests ways to re-identify this data."
19,The Allincluding Language of Ulysses,"Degner, Hannah",English,2015,"Sabin, Margery
Chiasson, Dan","Study of the text of Ulysses, Joyce's other major works, critical texts, biographical works and annotations to consider the manner in which Joyce's flexible, whimsical and almost always unconventional stylistic experiments tell a fuller story of life than established narrative styles. Joyce's inclusions and innovations make the novel an active process of engagement, puzzling, and probing--a process that brings the reader closer to the text, and the ideas within, through the reader's active engagement."
20,A Cross-Cultural Study: Student Protest Movements at University of Cape Town and University of California-Berkeley from 1960-1965,"White, Brianna",American Studies,2015,"Jeffries, Michael
Beatty, Barbara
MacDonald, Paul",
21,Is Democracy the Answer: Differential Outcomes in the Treatment of the Global HIV Epidemic,"Zhu, Kathleen",Political Science,2015,"Murphy, Craig",
22,Tangibility and Memory in Abstract Landscapes,"Reiman, Kelsey M",Media Arts and Sciences,2015,"Olsen, David Teng",
23,To the South! A Study of Exoticism in Fanny Hensel's Lieder,"Zhang, Xi",Music,2015,"Fontijn, Claire","Fanny Mendelssohn Hensel (1805-46) was a gifted pianist and composer of songs known as Lieder, among other music. Though educated together with her brother Felix Mendelssohn and encouraged to excel, their careers diverged at a certain point such that Mendelssohn pursued a public career as a performer and composer, while Hensel's career was restricted to the domestic sphere. Her deep longing for travel and the exotic was reflected in her music. The two journeys from Berlin during her lifetime - Switzerland and France during her adolescence (1822), then Italy later in life with her husband and child (1839) - produced several Lieder that reflected her fascination with places beyond Berlin. This thesis explores Hensel's unique contributions to German Romantic music and the circumstances that shaped it."
